,participant,trial no.,actual control,angular bias,response,group,dim
24,K-Reg-H-11,25,0.3,90,0,H,0.4262911996219892
25,K-Reg-H-11,26,0.8,0,1,H,0.22177544848908623
26,K-Reg-H-11,27,0.55,90,0,H,0.3280572273788104
27,K-Reg-H-11,28,0.8,90,0,H,0.2758211564120658
28,K-Reg-H-11,29,0.3,90,0,H,0.38014318453331825
29,K-Reg-H-11,30,0.55,90,1,H,0.2684242799949104
30,K-Reg-H-11,31,0.55,90,0,H,0.3152630543032452
31,K-Reg-H-11,32,0.8,0,1,H,0.268967096658104
32,K-Reg-H-11,33,0.3,0,0,H,0.2608030445031671
33,K-Reg-H-11,34,0.55,0,1,H,0.30823622452645005
34,K-Reg-H-11,35,0.8,0,1,H,0.2926054531508975
35,K-Reg-H-11,36,0.3,90,0,H,0.25212699476472883
36,K-Reg-H-11,37,0.55,0,1,H,0.2291130786482493
37,K-Reg-H-11,38,0.8,0,1,H,0.23771925945329814
38,K-Reg-H-11,39,0.3,0,0,H,0.2818489829621687
39,K-Reg-H-11,40,0.8,0,1,H,0.2694216749637813
40,K-Reg-H-11,41,0.8,90,0,H,0.24617092501784224
41,K-Reg-H-11,42,0.55,90,0,H,0.23527430908397465
42,K-Reg-H-11,43,0.3,90,0,H,0.32088882665035356
43,K-Reg-H-11,44,0.55,90,0,H,0.31155076646760477
44,K-Reg-H-11,45,0.55,90,0,H,0.28238018907412304
45,K-Reg-H-11,46,0.3,90,0,H,0.3160381214173477
46,K-Reg-H-11,47,0.8,0,1,H,0.27174750435512
47,K-Reg-H-11,48,0.3,0,0,H,0.2419468785901043
48,K-Reg-H-11,49,0.55,0,1,H,0.2758281765496597
49,K-Reg-H-11,50,0.3,0,0,H,0.2707825866594277
50,K-Reg-H-11,51,0.8,0,1,H,0.24421057637505217
51,K-Reg-H-11,52,0.3,0,0,H,0.3645611466699184
52,K-Reg-H-11,53,0.8,90,0,H,0.3240256288517727
53,K-Reg-H-11,54,0.55,90,0,H,0.3245601123907292
54,K-Reg-H-11,55,0.3,90,0,H,0.35125961853775406
55,K-Reg-H-11,56,0.3,90,0,H,0.3317628540724459
56,K-Reg-H-11,57,0.55,90,0,H,0.2862532983929497
57,K-Reg-H-11,58,0.55,90,0,H,0.3929239715106053
58,K-Reg-H-11,59,0.3,90,0,H,0.23125228200206335
59,K-Reg-H-11,60,0.3,0,0,H,0.35501480731965424
0,K-Reg-H-12,1,0.3,0,0,H,0.24781025710377866
1,K-Reg-H-12,2,0.8,0,1,H,0.2662128245835631
2,K-Reg-H-12,3,0.8,90,0,H,0.27553623458724125
3,K-Reg-H-12,4,0.55,0,0,H,0.2907596719108317
4,K-Reg-H-12,5,0.55,90,0,H,0.23763685321149627
5,K-Reg-H-12,6,0.3,0,0,H,0.19064696779560655
6,K-Reg-H-12,7,0.8,90,0,H,0.2325594805619562
7,K-Reg-H-12,8,0.55,0,0,H,0.26554762866403897
8,K-Reg-H-12,9,0.55,90,0,H,0.20771496966567968
9,K-Reg-H-12,10,0.8,90,0,H,0.18129058485133065
10,K-Reg-H-12,11,0.55,90,0,H,0.30793911653061784
11,K-Reg-H-12,12,0.55,0,0,H,0.3130967991593361
12,K-Reg-H-12,13,0.8,0,1,H,0.22832162171796216
13,K-Reg-H-12,14,0.3,0,0,H,0.17223593215970565
14,K-Reg-H-12,15,0.3,90,0,H,0.23073165826859504
15,K-Reg-H-12,16,0.3,90,0,H,0.29576238147775236
16,K-Reg-H-12,17,0.55,90,0,H,0.2362541596338113
17,K-Reg-H-12,18,0.3,90,0,H,0.31587435499755606
18,K-Reg-H-12,19,0.55,90,0,H,0.2733494394242118
19,K-Reg-H-12,20,0.3,90,0,H,0.23805671460947328
20,K-Reg-H-12,21,0.3,0,0,H,0.2719154453883833
21,K-Reg-H-12,22,0.8,0,1,H,0.21637917849130905
22,K-Reg-H-12,23,0.55,0,0,H,0.17615559671942882
23,K-Reg-H-12,24,0.55,0,0,H,0.25671074111307435
24,K-Reg-H-12,25,0.3,0,0,H,0.2047752202239963
25,K-Reg-H-12,26,0.8,90,0,H,0.3640688049541539
26,K-Reg-H-12,27,0.3,90,0,H,0.27087635435806606
27,K-Reg-H-12,28,0.3,90,0,H,0.20038230109187194
28,K-Reg-H-12,29,0.8,0,1,H,0.21805728121353324
29,K-Reg-H-12,30,0.55,0,0,H,0.22855566697748736
30,K-Reg-H-12,31,0.8,90,0,H,0.36777414763015864
31,K-Reg-H-12,32,0.3,0,0,H,0.19049581630133564
32,K-Reg-H-12,33,0.3,0,0,H,0.34606196784370574
33,K-Reg-H-12,34,0.55,90,0,H,0.2443159791086683
34,K-Reg-H-12,35,0.55,0,0,H,0.2045612246562629
35,K-Reg-H-12,36,0.8,0,1,H,0.22208378883693805
36,K-Reg-H-12,37,0.8,90,0,H,0.34147802865926646
37,K-Reg-H-12,38,0.55,0,0,H,0.20360619239722
38,K-Reg-H-12,39,0.3,0,0,H,0.21270091053211376
39,K-Reg-H-12,40,0.8,0,1,H,0.23202734505448405
40,K-Reg-H-12,41,0.55,0,0,H,0.2400885170172374
41,K-Reg-H-12,42,0.8,0,1,H,0.31306140725397064
42,K-Reg-H-12,43,0.3,90,0,H,0.19071410031357577
43,K-Reg-H-12,44,0.3,90,0,H,0.23624207211773046
44,K-Reg-H-12,45,0.8,90,0,H,0.33247446584303625
45,K-Reg-H-12,46,0.8,0,1,H,0.2042117732245566
46,K-Reg-H-12,47,0.8,0,1,H,0.20509290738857947
47,K-Reg-H-12,48,0.3,90,0,H,0.2507461417645587
48,K-Reg-H-12,49,0.8,90,0,H,0.19187159999238268
49,K-Reg-H-12,50,0.55,90,0,H,0.21118498822933712
50,K-Reg-H-12,51,0.55,0,0,H,0.29128446716879336
51,K-Reg-H-12,52,0.3,0,0,H,0.27101532739590867
52,K-Reg-H-12,53,0.8,90,0,H,0.26773624049802075
53,K-Reg-H-12,54,0.8,0,1,H,0.27798220077438895
54,K-Reg-H-12,55,0.55,90,0,H,0.23290443195289195
55,K-Reg-H-12,56,0.55,90,0,H,0.21752138427341816
56,K-Reg-H-12,57,0.8,90,0,H,0.32428443168332755
57,K-Reg-H-12,58,0.55,90,0,H,0.29714516103929545
58,K-Reg-H-12,59,0.3,0,0,H,0.24406033392166404
59,K-Reg-H-12,60,0.3,90,0,H,0.26641000981810586
0,K-Reg-H-13,1,0.8,90,0,H,0.19539846778924472
1,K-Reg-H-13,2,0.3,0,0,H,0.24008837049682075
2,K-Reg-H-13,3,0.8,90,0,H,0.26525961541395887
3,K-Reg-H-13,4,0.8,90,0,H,0.24001117536017963
4,K-Reg-H-13,5,0.3,90,0,H,0.3268096331880822
5,K-Reg-H-13,6,0.3,0,0,H,0.24347763542428258
6,K-Reg-H-13,7,0.8,0,1,H,0.35501439281443326
7,K-Reg-H-13,8,0.8,0,1,H,0.2503149226217934
8,K-Reg-H-13,9,0.3,90,0,H,0.23275357447150974
9,K-Reg-H-13,10,0.8,0,1,H,0.234460522194535
10,K-Reg-H-13,11,0.8,0,1,H,0.2615157911045035
11,K-Reg-H-13,12,0.8,90,0,H,0.30837519616597303
12,K-Reg-H-13,13,0.8,90,0,H,0.2511900597347036
13,K-Reg-H-13,14,0.8,0,1,H,0.2632992452748094
14,K-Reg-H-13,15,0.3,90,0,H,0.2838340084432835
15,K-Reg-H-13,16,0.55,90,0,H,0.2619236589988133
16,K-Reg-H-13,17,0.3,0,0,H,0.33146969146567745
17,K-Reg-H-13,18,0.55,90,0,H,0.19765931487029456
18,K-Reg-H-13,19,0.55,90,0,H,0.22498522023685605
19,K-Reg-H-13,20,0.55,0,1,H,0.22193764756166057
20,K-Reg-H-13,21,0.55,0,1,H,0.2219472106663401
21,K-Reg-H-13,22,0.8,90,0,H,0.26800576672026266
22,K-Reg-H-13,23,0.3,0,0,H,0.1945342953479613
23,K-Reg-H-13,24,0.3,0,0,H,0.20256633410992078
24,K-Reg-H-13,25,0.3,0,0,H,0.2262407322387428
25,K-Reg-H-13,26,0.3,90,0,H,0.24697233409288138
26,K-Reg-H-13,27,0.55,0,1,H,0.21558842917548465
27,K-Reg-H-13,28,0.8,0,1,H,0.2910127602968539
28,K-Reg-H-13,29,0.55,90,0,H,0.19522909832608126
29,K-Reg-H-13,30,0.3,0,0,H,0.30024836669847077
30,K-Reg-H-13,31,0.55,0,0,H,0.23560115617748886
31,K-Reg-H-13,32,0.55,0,1,H,0.23495902044523992
32,K-Reg-H-13,33,0.8,0,1,H,0.26214357493636725
33,K-Reg-H-13,34,0.8,90,0,H,0.17910063151330516
34,K-Reg-H-13,35,0.8,0,1,H,0.24870806534277798
35,K-Reg-H-13,36,0.3,90,0,H,0.29086734080757626
36,K-Reg-H-13,37,0.55,0,1,H,0.27160193027246327
37,K-Reg-H-13,38,0.55,0,0,H,0.2656606645953774
38,K-Reg-H-13,39,0.8,0,1,H,0.2560733241591349
39,K-Reg-H-13,40,0.8,90,0,H,0.30100787200802565
40,K-Reg-H-13,41,0.8,90,0,H,0.23083268018126957
41,K-Reg-H-13,42,0.3,0,0,H,0.43083257784529067
